iso3,Country,year,pop,rgdpe,region,gdp_per_capita
ARG,Argentina,1950,17.0902249666788,56066.51171875,Latin America & Caribbean,3280.618706193988
ARG,Argentina,1951,17.4559449452828,58718.82421875,Latin America & Caribbean,3363.8295951785676
ARG,Argentina,1952,17.8142998526244,53147.3828125,Latin America & Caribbean,2983.4112624229983
ARG,Argentina,1953,18.1669185573674,55202.6796875,Latin America & Caribbean,3038.637483466515
ARG,Argentina,1954,18.5154356301661,57792.71875,Latin America & Caribbean,3121.326438349728
ARG,Argentina,1955,18.8614799396842,63132.42578125,Latin America & Caribbean,3347.1618337021664
ARG,Argentina,1956,19.2039662070337,64723.91015625,Latin America & Caribbean,3370.3407649480255
ARG,Argentina,1957,19.5418053519996,67724.3671875,Latin America & Caribbean,3465.6146639271565
ARG,Argentina,1958,19.8766281439092,72930.5078125,Latin America & Caribbean,3669.158938048962
ARG,Argentina,1959,20.2100672527532,69163.3515625,Latin America & Caribbean,3422.2227317466222
ARG,Argentina,1960,20.5437515471954,74293.7578125,Latin America & Caribbean,3616.3676162955967
ARG,Argentina,1961,20.8771526427683,77830.71875,Latin America & Caribbean,3728.0332276039576
ARG,Argentina,1962,21.2091852605842,74166.7265625,Latin America & Caribbean,3496.915400156069
ARG,Argentina,1963,21.5406400766804,73608.4140625,Latin America & Caribbean,3417.187873733959
ARG,Argentina,1964,21.872313469085,78562.5390625,Latin America & Caribbean,3591.8714850874235
ARG,Argentina,1965,22.2049999151625,90604.4765625,Latin America & Caribbean,4080.3637427907165
ARG,Argentina,1966,22.5323530993144,90113.4140625,Latin America & Caribbean,3999.2899838429175
ARG,Argentina,1967,22.8538427364096,94126.8515625,Latin America & Caribbean,4118.64440690063
ARG,Argentina,1968,23.1789873495146,96810.046875,Latin America & Caribbean,4176.629695474049
ARG,Argentina,1969,23.5173092630226,105260.90625,Latin America & Caribbean,4475.890718310483
ARG,Argentina,1970,23.878327,107366.7109375,Latin America & Caribbean,4496.408435042372
ARG,Argentina,1971,24.257208,112271.7265625,Latin America & Caribbean,4628.386191951688
ARG,Argentina,1972,24.644328,114951.609375,Latin America & Caribbean,4664.424583823101
ARG,Argentina,1973,25.046005,121513.515625,Latin America & Caribbean,4851.61268733277
ARG,Argentina,1974,25.461351,127194.9453125,Latin America & Caribbean,4995.608650636802
ARG,Argentina,1975,25.874107,125789.125,Latin America & Caribbean,4861.58324227383
ARG,Argentina,1976,26.282283,124168.2734375,Latin America & Caribbean,4724.409726411514
ARG,Argentina,1977,26.701805,128872.078125,Latin America & Caribbean,4826.343317427417
ARG,Argentina,1978,27.132158,125265.7265625,Latin America & Caribbean,4616.872958004299
ARG,Argentina,1979,27.568895,136675.578125,Latin America & Caribbean,4957.600880448781
ARG,Argentina,1980,28.011596,144583.125,Latin America & Caribbean,5161.545418547375
ARG,Argentina,1981,28.463959,143491.5,Latin America & Caribbean,5041.1645126385965
ARG,Argentina,1982,28.924262,143783.4375,Latin America & Caribbean,4971.0321908991145
ARG,Argentina,1983,29.391332,157129.28125,Latin America & Caribbean,5346.109568970879
ARG,Argentina,1984,29.863093,167900.78125,Latin America & Caribbean,5622.350680487115
ARG,Argentina,1985,30.336441,161122.28125,Latin America & Caribbean,5311.1794244420435
ARG,Argentina,1986,30.81198,183398.953125,Latin America & Caribbean,5952.196292643316
ARG,Argentina,1987,31.291762,196997.28125,Latin America & Caribbean,6295.499794802224
ARG,Argentina,1988,31.780532,206498.9375,Latin America & Caribbean,6497.6551525317445
ARG,Argentina,1989,32.270948,203135.65625,Latin America & Caribbean,6294.691319573259
ARG,Argentina,1990,32.755901,218854.9375,Latin America & Caribbean,6681.389637244293
ARG,Argentina,1991,33.230294,262842.125,Latin America & Caribbean,7909.714100031736
ARG,Argentina,1992,33.693527,316084.5,Latin America & Caribbean,9381.163925047085
ARG,Argentina,1993,34.152717,363304.4375,Latin America & Caribbean,10637.643778092384
ARG,Argentina,1994,34.613491,424014.46875,Latin America & Caribbean,12249.977003186415
ARG,Argentina,1995,35.07002,470774.46875,Latin America & Caribbean,13423.843748877247
ARG,Argentina,1996,35.513793,609480.1875,Latin America & Caribbean,17161.788026978702
ARG,Argentina,1997,35.947791,631510.0,Latin America & Caribbean,17567.421597616387
ARG,Argentina,1998,36.37286,634181.0625,Latin America & Caribbean,17435.55668979563
ARG,Argentina,1999,36.794682,594499.8125,Latin America & Caribbean,16157.221103310527
ARG,Argentina,2000,37.213984,587599.9375,Latin America & Caribbean,15789.76165250138
ARG,Argentina,2001,37.624825,548015.0,Latin America & Caribbean,14565.250469603512
ARG,Argentina,2002,38.029349,507861.78125,Latin America & Caribbean,13354.46949801849
ARG,Argentina,2003,38.424282,535112.8125,Latin America & Caribbean,13926.42320551364
ARG,Argentina,2004,38.815916,576108.5,Latin America & Caribbean,14842.068908022162
