Country,Variable,Percentile,Year,Value,Data quality,iso3,region
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1960,0.1447,2.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1961,0.142,3.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1970,0.1454,3.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1980,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1981,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1982,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1983,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1984,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1985,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1986,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1987,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1988,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1989,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1990,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1991,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1992,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1993,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1994,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1995,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1996,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1997,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1998,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,1999,0.0817,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,2000,0.0817,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,2001,0.0703,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,2002,0.07,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p0p50_999_j_AR
Pre-tax national income 
Bottom 50% | share | all ages | equal split
",p0p50,2003,0.0965,4.0,ARG,Latin America & Caribbean
