Country,Variable,Percentile,Year,Value,Data quality,iso3,region
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1960,0.6173000000000001,2.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1961,0.6193000000000001,3.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1970,0.6161,3.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1980,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1981,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1982,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1983,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1984,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1985,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1986,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1987,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1988,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1989,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1990,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1991,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1992,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1993,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1994,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1995,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1996,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1997,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1998,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,1999,0.6795,1.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2000,0.6795,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2001,0.6915,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2002,0.7009000000000001,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2003,0.6615,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2004,0.6575000000000001,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2005,0.6379,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2006,0.6188,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2007,0.6357,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2008,0.5903,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2009,0.5933,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2010,0.5951000000000001,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2011,0.5742,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2012,0.5629000000000001,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2013,0.5704,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2014,0.5919,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2015,0.5894,2.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2016,0.5869,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2017,0.5889,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2018,0.5841000000000001,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2019,0.6041000000000001,4.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2020,0.6296,3.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2021,0.5940000000000001,3.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2022,0.5984,3.0,ARG,Latin America & Caribbean
Argentina,"sptinc_p80p100_999_j_AR
Pre-tax national income 
P80-100 | share | all ages | equal split
",p80p100,2023,0.6149,3.0,ARG,Latin America & Caribbean
