Downloaded from wid.world on 14-07-2026 at 08:18:24
Country ;Variable ;Percentile ;Year ;Value ;Data quality 
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1940;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1941;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1942;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1943;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1944;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1945;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1946;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1947;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1948;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1949;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1950;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1951;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1952;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1953;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1954;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1955;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1956;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1957;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1958;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1959;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1960;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1961;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1962;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1963;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1964;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1965;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1966;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1967;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1968;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1969;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1970;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1971;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1972;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1973;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1974;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1975;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1976;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1977;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1978;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1979;;
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1980;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1981;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1982;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1983;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1984;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1985;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1986;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1987;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1988;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1989;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1990;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1991;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1992;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1993;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1994;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1995;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1996;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1997;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1998;0.5594;1.0
Afghanistan ;"sptinc_p80p100_999_j_AF
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1999;0.5594;1.0
