Downloaded from wid.world on 14-07-2026 at 08:24:25
Country ;Variable ;Percentile ;Year ;Value ;Data quality 
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1940;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1941;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1942;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1943;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1944;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1945;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1946;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1947;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1948;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1949;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1950;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1951;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1952;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1953;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1954;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1955;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1956;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1957;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1958;;
Cabo Verde ;"sptinc_p80p100_999_j_CV
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1959;;
