Country ;Variable ;Percentile ;Year ;Value ;Data quality 
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1940;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1941;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1942;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1943;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1944;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1945;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1946;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1947;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1948;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1949;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1950;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1951;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1952;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1953;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1954;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1955;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1956;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1957;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1958;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1959;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1960;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1961;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1962;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1963;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1964;;
Iceland ;"sptinc_p80p100_999_j_IS
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1965;;
