Downloaded from wid.world on 14-07-2026 at 08:46:49
Country ;Variable ;Percentile ;Year ;Value ;Data quality 
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1940;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1941;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1942;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1943;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1944;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1945;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1946;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1947;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1948;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1949;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1950;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1951;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1952;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1953;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1954;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1955;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1956;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1957;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1958;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1959;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1960;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1961;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1962;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1963;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1964;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1965;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1966;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1967;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1968;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1969;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1970;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1971;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1972;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1973;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1974;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1975;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1976;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1977;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1978;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1979;;
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1980;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1981;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1982;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1983;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1984;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1985;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1986;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1987;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1988;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1989;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1990;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1991;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1992;0.864;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1993;0.864;3.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1994;0.8599;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1995;0.8558;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1996;0.8517;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1997;0.8476;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1998;0.8435;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1999;0.8394;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2000;0.8353;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2001;0.8312;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2002;0.8270000000000001;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2003;0.8229000000000001;3.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2004;0.8199000000000001;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2005;0.8168000000000001;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2006;0.8137000000000001;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2007;0.8107000000000001;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2008;0.8076;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2009;0.8045;3.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2010;0.7995;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2011;0.7945;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2012;0.7895000000000001;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2013;0.7846000000000001;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2014;0.7796000000000001;2.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2015;0.7746000000000001;3.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2016;0.7746000000000001;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2017;0.7746000000000001;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2018;0.7746000000000001;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2019;0.7746000000000001;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2020;0.7746000000000001;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2021;0.7746000000000001;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2022;0.7746000000000001;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2023;0.7746000000000001;1.0
Namibia ;"sptinc_p80p100_999_j_NA
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;2024;0.7746000000000001;1.0
Nauru ;"sptinc_p80p100_999_j_NR
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1940;;
Nauru ;"sptinc_p80p100_999_j_NR
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1941;;
Nauru ;"sptinc_p80p100_999_j_NR
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1942;;
Nauru ;"sptinc_p80p100_999_j_NR
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1943;;
Nauru ;"sptinc_p80p100_999_j_NR
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1944;;
Nauru ;"sptinc_p80p100_999_j_NR
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1945;;
Nauru ;"sptinc_p80p100_999_j_NR
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1946;;
Nauru ;"sptinc_p80p100_999_j_NR
Pre-tax national income 
P80-100 | share | all ages | equal split
";p80p100;1947;;
