Downloaded from wid.world on 14-07-2026 at 08:46:49
Country Code;Country Name;WID Variable code;Percentile group;Unit;Variable name;Intuitive description;Technical description;Methodological Notes;Sources
;Namibia;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]http://wid.world/document/alvaredoassouadpiketty-middleeast-widworldwp201715/[/URL_LINK][URL_TEXT]Facundo Alvaredo, Lydia Assouad and Thomas Piketty (2017). Measuring Inequality in the Middle East, 1990-2016: The Worlds Most Unequal Region?; [/URL_TEXT][/URL]Technote for the update: [URL][URL_LINK]https://wid.world/document/2025-dina-update-for-mena/[/URL_LINK][URL_TEXT]El Hariri (2025), ""2025 DINA Regional Update for the Middle East""[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
NR;Nauru;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]http://wid.world/document/alvaredoassouadpiketty-middleeast-widworldwp201715/[/URL_LINK][URL_TEXT]Facundo Alvaredo, Lydia Assouad and Thomas Piketty (2017). Measuring Inequality in the Middle East, 1990-2016: The Worlds Most Unequal Region?; [/URL_TEXT][/URL]Technote for the update: [URL][URL_LINK]https://wid.world/document/2025-dina-update-for-mena/[/URL_LINK][URL_TEXT]El Hariri (2025), ""2025 DINA Regional Update for the Middle East""[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
NP;Nepal;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]http://wid.world/document/alvaredoassouadpiketty-middleeast-widworldwp201715/[/URL_LINK][URL_TEXT]Facundo Alvaredo, Lydia Assouad and Thomas Piketty (2017). Measuring Inequality in the Middle East, 1990-2016: The Worlds Most Unequal Region?; [/URL_TEXT][/URL]Technote for the update: [URL][URL_LINK]https://wid.world/document/2025-dina-update-for-mena/[/URL_LINK][URL_TEXT]El Hariri (2025), ""2025 DINA Regional Update for the Middle East""[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
NL;Netherlands;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]http://wid.world/document/alvaredoassouadpiketty-middleeast-widworldwp201715/[/URL_LINK][URL_TEXT]Facundo Alvaredo, Lydia Assouad and Thomas Piketty (2017). Measuring Inequality in the Middle East, 1990-2016: The Worlds Most Unequal Region?; [/URL_TEXT][/URL]Technote for the update: [URL][URL_LINK]https://wid.world/document/2025-dina-update-for-mena/[/URL_LINK][URL_TEXT]El Hariri (2025), ""2025 DINA Regional Update for the Middle East""[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
NC;New Caledonia;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]http://wid.world/document/alvaredoassouadpiketty-middleeast-widworldwp201715/[/URL_LINK][URL_TEXT]Facundo Alvaredo, Lydia Assouad and Thomas Piketty (2017). Measuring Inequality in the Middle East, 1990-2016: The Worlds Most Unequal Region?; [/URL_TEXT][/URL]Technote for the update: [URL][URL_LINK]https://wid.world/document/2025-dina-update-for-mena/[/URL_LINK][URL_TEXT]El Hariri (2025), ""2025 DINA Regional Update for the Middle East""[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
NZ;New Zealand;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]http://wid.world/document/alvaredoassouadpiketty-middleeast-widworldwp201715/[/URL_LINK][URL_TEXT]Facundo Alvaredo, Lydia Assouad and Thomas Piketty (2017). Measuring Inequality in the Middle East, 1990-2016: The Worlds Most Unequal Region?; [/URL_TEXT][/URL]Technote for the update: [URL][URL_LINK]https://wid.world/document/2025-dina-update-for-mena/[/URL_LINK][URL_TEXT]El Hariri (2025), ""2025 DINA Regional Update for the Middle East""[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
NI;Nicaragua;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]http://wid.world/document/alvaredoassouadpiketty-middleeast-widworldwp201715/[/URL_LINK][URL_TEXT]Facundo Alvaredo, Lydia Assouad and Thomas Piketty (2017). Measuring Inequality in the Middle East, 1990-2016: The Worlds Most Unequal Region?; [/URL_TEXT][/URL]Technote for the update: [URL][URL_LINK]https://wid.world/document/2025-dina-update-for-mena/[/URL_LINK][URL_TEXT]El Hariri (2025), ""2025 DINA Regional Update for the Middle East""[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
NE;Niger;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]http://wid.world/document/alvaredoassouadpiketty-middleeast-widworldwp201715/[/URL_LINK][URL_TEXT]Facundo Alvaredo, Lydia Assouad and Thomas Piketty (2017). Measuring Inequality in the Middle East, 1990-2016: The Worlds Most Unequal Region?; [/URL_TEXT][/URL]Technote for the update: [URL][URL_LINK]https://wid.world/document/2025-dina-update-for-mena/[/URL_LINK][URL_TEXT]El Hariri (2025), ""2025 DINA Regional Update for the Middle East""[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
NG;Nigeria;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]http://wid.world/document/alvaredoassouadpiketty-middleeast-widworldwp201715/[/URL_LINK][URL_TEXT]Facundo Alvaredo, Lydia Assouad and Thomas Piketty (2017). Measuring Inequality in the Middle East, 1990-2016: The Worlds Most Unequal Region?; [/URL_TEXT][/URL]Technote for the update: [URL][URL_LINK]https://wid.world/document/2025-dina-update-for-mena/[/URL_LINK][URL_TEXT]El Hariri (2025), ""2025 DINA Regional Update for the Middle East""[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
KP;North Korea;sptinc999j;p80p100;share;Pre-tax national income. Share All Ages. equal-split adults;Pre-tax national income share held by the p80p100 group. Pre-tax national income  is the sum of all pre-tax personal income flows accruing to the owners of the production factors, labor and capital, before taking into account the operation of the tax/transfer system, but after taking into account the operation of pension system. The central difference between personal factor income and pre-tax income is the treatment of pensions, which are counted on a contribution basis by factor income and on a distribution basis by pre-tax income. The population is comprised of individuals of all ages. The base unit is the individual (rather than the household) but resources are split equally within couples.;Pre-tax national income =Pre-tax labor income [total pre-tax income ranking]+Pre-tax capital income [total pre-tax income ranking];;"[URL][URL_LINK]http://wid.world/document/alvaredoassouadpiketty-middleeast-widworldwp201715/[/URL_LINK][URL_TEXT]Facundo Alvaredo, Lydia Assouad and Thomas Piketty (2017). Measuring Inequality in the Middle East, 1990-2016: The Worlds Most Unequal Region?; [/URL_TEXT][/URL]Technote for the update: [URL][URL_LINK]https://wid.world/document/2025-dina-update-for-mena/[/URL_LINK][URL_TEXT]El Hariri (2025), ""2025 DINA Regional Update for the Middle East""[/URL_TEXT][/URL]; For long run series (full population), [URL][URL_LINK]http://wid.world/document/longrunpaper/[/URL_LINK][URL_TEXT]Chancel, L., Piketty, T. ""Global Income Inequality 1820-2020: The Persistence and Mutation of Extreme Inequality"" (2021)[/URL_TEXT][/URL][URL][URL_LINK]http://wid.world/document/historical-inequality-series-on-wid-world-updates-world-inequality-lab-technical-note-2023-01/[/URL_LINK][URL_TEXT] ; Chancel, L., Moshrif, R., Piketty, T., Xuereb, S., (2023),  ""Historical Inequality Series on WID.world - Updates""[/URL_TEXT][/URL]; [URL][URL_LINK]https://wid.world/document/wid-income-and-wealth-distributional-series-updated-and-extended-coverage-1800-2024-world-inequality-lab-technical-note-2025-10/[/URL_LINK][URL_TEXT]Arias-Osorio, M., Baulus, L., Brassac, P., Chancel, L., Martinez-Toledano, C., Moshrif, R., Piketty, T. (2026) ""WID Income and Wealth Distributional Series Updated and Extended Coverage, 1800-2024"" [/URL_TEXT][/URL]"
