region_name,region_code,country_name,country_code,reporting_year,reporting_level,survey_acronym,survey_coverage,survey_year,welfare_type,survey_comparability,comparable_spell,poverty_line,headcount,poverty_gap,poverty_severity,watts,mean,median,mld,gini,polarization,decile1,decile2,decile3,decile4,decile5,decile6,decile7,decile8,decile9,decile10,cpi,ppp,reporting_pop,reporting_gdp,reporting_pce,is_interpolated,distribution_type,estimation_type,spl,spr,pg,estimate_type
Sub-Saharan Africa,SSF,Angola,AGO,2000,national,HBS,national,2000.21,consumption,0,2000,3,0.269546382606,0.119154953173,0.070648353158,0.197389546504,8.380260819715,5.300380177773,0.509491939709,0.519451484671,0.464338921627,0.009909980207,0.0219869815,0.03341620371,0.045094892089,0.056466057717,0.070482036374,0.088172535796,0.113397686461,0.159391666238,0.401681959907,0.006580984963,203.688735961914,16310860.19000002,2172.46326720494,,FALSE,micro,survey,3.95,0.371469199428,9.609202418059,
Sub-Saharan Africa,SSF,Angola,AGO,2008,national,IBEP-MICS,national,2008.5,consumption,1,2008,3,0.220795823802,0.066666664457,0.029028003388,0.090521004742,7.401681960282,5.334157888251,0.311631502322,0.427155149878,0.391365249698,0.020722704667,0.033564171517,0.043176167923,0.053027305776,0.065425990436,0.07923758155,0.096511887757,0.122976103307,0.162341588705,0.323016498362,0.140636450449,203.688735961914,21996714,3559.19522512236,1748.42843231959,FALSE,micro,survey,3.967,0.353358036083,6.838755590244,
Sub-Saharan Africa,SSF,Angola,AGO,2018,national,IDREA,national,2018.17,consumption,2,2018,3,0.392947050923,0.162988508405,0.089305908844,0.25197741269,6.218052216505,3.87951032261,0.476374936334,0.512642889911,0.470981518706,0.013346549476,0.024281606136,0.033329520437,0.04343721255,0.055829117464,0.069809076858,0.088693035002,0.115676119744,0.159380394157,0.396217368175,0.571606030528,203.688735961914,31480496.090000078,3196.79006983557,2261.45572183685,FALSE,micro,survey,3.24,0.421619033034,10.964242147661,
Europe & Central Asia,ECS,Albania,ALB,1996,national,EWS,national,1996,consumption,0,1996,3,0.029678410969,0.004397791959,0.001176030686,0.00522551905,8.442031954605,7.419329921528,0.119104326584,0.270103419751,0.241293272375,0.038817883466,0.052792297005,0.063706566514,0.075240257439,0.083462238153,0.092457305123,0.107789612861,0.126116176356,0.152507706392,0.207109956691,0.372476638234,50.772304534912,3168033,1683.76965547424,1522.87187313081,FALSE,micro,survey,5.01,0.203901936695,4.209428408241,
Europe & Central Asia,ECS,Albania,ALB,2002,national,LSMS,national,2002,consumption,1,2002 - 2012,3,0.041947222471,0.00720328495,0.002111001184,0.008771355229,8.628333105657,7.117153873243,0.164811599639,0.317389798335,0.268981638919,0.03523453383,0.048484450621,0.058520715358,0.067376298306,0.076407873319,0.088384438922,0.102324653414,0.119868981708,0.149999215591,0.253398838931,0.653954841192,50.772304534912,3051010,2297.10853513924,1572.29545989804,FALSE,micro,survey,4.859,0.224403964013,4.429310138818,
Europe & Central Asia,ECS,Albania,ALB,2005,national,LSMS,national,2005,consumption,1,2002 - 2012,3,0.026502175543,0.004060550322,0.00106432885,0.0047720699,9.75392826255,8.300110695205,0.154412756483,0.305956557281,0.254528656817,0.034870461608,0.049362953423,0.059658204008,0.06935465629,0.079654226763,0.090390907976,0.104065136108,0.121028738588,0.148298449437,0.243316265798,0.702720027529,50.772304534912,3011487,2712.86983830331,1969.24169374881,FALSE,micro,survey,5.45,0.209975050749,3.860997047312,
Europe & Central Asia,ECS,Albania,ALB,2008,national,LSMS,national,2008,consumption,1,2002 - 2012,3,0.008273078683,0.001359682926,3.86292901e-4,0.001618207849,10.682070101877,8.939032482085,0.148893380953,0.299846704223,0.247311112608,0.037382980864,0.051433949416,0.06098501954,0.069847255057,0.079011325561,0.089379472656,0.102883019772,0.119204651405,0.145468019414,0.244404306315,0.764380367032,50.772304534912,2947314,3345.98161761476,2735.22412768351,FALSE,micro,survey,5.77,0.172609817066,3.450628299801,
Europe & Central Asia,ECS,Albania,ALB,2012,national,LSMS,national,2012,consumption,1,2002 - 2012,3,0.0179459018,0.003803908818,0.00128932286,0.004767186655,10.127716689769,8.768966550798,0.138417068042,0.289604845586,0.249987920799,0.036604352903,0.05192535994,0.06146082609,0.070334993378,0.080799744944,0.092617752259,0.105133410116,0.122924903997,0.148902113141,0.229296543231,0.854852427904,50.772304534912,2860708,3771.84781862015,2915.64229869794,FALSE,micro,survey,5.684,0.189182046934,3.634575360917,
Europe & Central Asia,ECS,Albania,ALB,2014,national,HBS,national,2014,consumption,2,2014 - 2017,3,0.036761394689,0.006353305001,0.001668127779,0.007431193252,10.791827503053,8.827485059139,0.198661566313,0.345988964668,0.324309701504,0.028540807069,0.041743442246,0.052298414672,0.063048669594,0.075132675589,0.089338199414,0.105912036203,0.127275531103,0.161268536997,0.255441687113,0.885584238507,50.772304534912,2773767,4045.11934884933,3156.08020246221,FALSE,micro,survey,5.714,0.254353267216,3.839190216443,
Europe & Central Asia,ECS,Albania,ALB,2015,national,HBS,national,2015,consumption,2,2014 - 2017,3,0.011148641529,0.001209949808,1.9315787e-4,0.001322195176,13.030740908341,10.687344760608,0.175495470024,0.327537317764,0.300363766021,0.031547363603,0.045467807624,0.055666923442,0.065791515741,0.076198266328,0.088866304853,0.104759011687,0.125259420386,0.158704782985,0.247738603351,0.902376490513,50.772304534912,2731293,4199.53912925398,3260.00799572181,FALSE,micro,survey,6.644,0.202021192002,3.029822658502,
